2026-07-11 18:38:43 | INFO     | plt_optimizer | Parsing PLT file: C:\Users\haiiro\Tools\Ploptimizer\examples\1-inch-square.plt
2026-07-11 18:38:43 | INFO     | plt_optimizer | Starting baseline extent profiling
2026-07-11 18:38:43 | INFO     | plt_optimizer | Profiling complete: is_structural=True (avg 4.0 segments/path, 100.0% structural), baseline_extent=1016.000, total_cutting_strokes=4
2026-07-11 18:38:43 | INFO     | plt_optimizer | Structural file detected: Bypassing chunker for 1:1 routing (1 paths)
2026-07-11 18:38:43 | INFO     | plt_optimizer | Starting optimization with NoOp (Baseline) on 1 blocks
2026-07-11 18:38:43 | INFO     | plt_optimizer | Running NoOp (Baseline) on 1 blocks
2026-07-11 18:38:43 | INFO     | plt_optimizer | Optimization complete: total_travel_distance=0.000
2026-07-11 18:38:43 | INFO     | plt_optimizer | Reassembling document with 1 blocks
2026-07-11 18:38:43 | INFO     | plt_optimizer | Reassembly complete: 1 paths
2026-07-11 18:38:43 | INFO     | plt_optimizer | Writing PLT file: C:\Users\haiiro\AppData\Local\Temp\tmpx804q_y7\1-inch-square_noop.plt
2026-07-11 18:39:20 | INFO     | plt_optimizer | Parsing PLT file: C:\Users\haiiro\Tools\Ploptimizer\examples\1-inch-square.plt
2026-07-11 18:39:20 | INFO     | plt_optimizer | Starting baseline extent profiling
2026-07-11 18:39:20 | INFO     | plt_optimizer | Profiling complete: is_structural=True (avg 4.0 segments/path, 100.0% structural), baseline_extent=1016.000, total_cutting_strokes=4
2026-07-11 18:39:20 | INFO     | plt_optimizer | Structural file detected: Bypassing chunker for 1:1 routing (1 paths)
2026-07-11 18:39:20 | INFO     | plt_optimizer | Starting optimization with NoOp (Baseline) on 1 blocks
2026-07-11 18:39:20 | INFO     | plt_optimizer | Running NoOp (Baseline) on 1 blocks
2026-07-11 18:39:20 | INFO     | plt_optimizer | Optimization complete: total_travel_distance=0.000
2026-07-11 18:39:20 | INFO     | plt_optimizer | Reassembling document with 1 blocks
2026-07-11 18:39:20 | INFO     | plt_optimizer | Reassembly complete: 1 paths
2026-07-11 18:39:20 | INFO     | plt_optimizer | Writing PLT file: C:\Users\haiiro\AppData\Local\Temp\tmp0gbzouyl\1-inch-square_noop.plt
2026-07-11 18:39:20 | INFO     | plt_optimizer | Parsing PLT file: C:\Users\haiiro\AppData\Local\Temp\tmp0gbzouyl\1-inch-square_noop.plt
2026-07-11 18:39:27 | INFO     | plt_optimizer | Parsing PLT file: C:\Users\haiiro\AppData\Local\Temp\tmpfght3pda\input.plt
2026-07-11 18:39:27 | INFO     | plt_optimizer | Writing PLT file: C:\Users\haiiro\AppData\Local\Temp\tmpfght3pda\output.plt
2026-07-11 18:39:27 | INFO     | plt_optimizer | Parsing PLT file: C:\Users\haiiro\AppData\Local\Temp\tmpfght3pda\output.plt
2026-07-11 18:39:27 | WARNING  | plt_optimizer | Unknown command 'PARSED', treating as header
2026-07-11 18:39:27 | WARNING  | plt_optimizer | Unknown command 'ALL', treating as header
